model_a,model_b,n_categories,spearman_rho,spearman_pvalue,spearman_ci95_lo,spearman_ci95_hi,kendall_tau,kendall_pvalue,kendall_ci95_lo,kendall_ci95_hi
Qwen/Qwen2-7B,google/gemma-2-9b,9,0.7999999999999999,0.009627924725379839,0.24324324324324326,1.0,0.6666666666666666,0.012665343915343916,0.19999999999999998,1.0
Qwen/Qwen2-7B,meta-llama/Meta-Llama-3.1-8B,9,0.8333333333333333,0.005265691029161747,0.23636363636363636,1.0,0.7777777777777778,0.0024250440917107582,0.22580645161290325,1.0
Qwen/Qwen2-7B,microsoft/Phi-3-mini-4k-instruct,9,0.8333333333333333,0.005265691029161747,0.3684210526315789,0.9999999999999998,0.6666666666666666,0.012665343915343916,0.24999999999999997,1.0
Qwen/Qwen2-7B,mistralai/Mistral-7B-v0.3,9,0.8166666666666667,0.0072247852463587885,0.2105263157894737,1.0,0.7222222222222222,0.0058862433862433864,0.15151515151515152,1.0
google/gemma-2-9b,meta-llama/Meta-Llama-3.1-8B,9,0.7999999999999999,0.009627924725379839,0.24999999999999994,1.0,0.6666666666666666,0.012665343915343916,0.19999999999999998,1.0
google/gemma-2-9b,microsoft/Phi-3-mini-4k-instruct,9,0.5,0.1704706607870538,-0.28211009174311913,0.8918918918918919,0.3333333333333333,0.25951829805996474,-0.27272727272727276,0.7931034482758621
google/gemma-2-9b,mistralai/Mistral-7B-v0.3,9,0.8499999999999999,0.0037047773275858125,0.26956521739130435,1.0,0.7222222222222222,0.0058862433862433864,0.24999999999999997,1.0
meta-llama/Meta-Llama-3.1-8B,microsoft/Phi-3-mini-4k-instruct,9,0.7999999999999999,0.009627924725379839,0.2320732306684142,1.0,0.6666666666666666,0.012665343915343916,0.19999999999999998,1.0
meta-llama/Meta-Llama-3.1-8B,mistralai/Mistral-7B-v0.3,9,0.9833333333333333,1.936196303745927e-06,0.8165137614678899,1.0,0.9444444444444445,4.96031746031746e-05,0.7241379310344829,1.0
microsoft/Phi-3-mini-4k-instruct,mistralai/Mistral-7B-v0.3,9,0.7333333333333334,0.024554150071469705,0.10526315789473685,1.0,0.611111111111111,0.02474096119929453,0.1111111111111111,1.0
